Id,Longitude,Latitude,Accuracy,TimeStamp,Date,DateTime,IsGPSOn,BatLevel,Provider,Bearing,DeviceTime,RepId
2,80.10066,6.13852,20,1745945204989,29/04/2025 12:00:00 AM,29/04/2025 4:46:45 PM,True,55,network,0,29/04/2025 10:16:45 PM,373
3,80.10074,6.13848,13,1745945209823,29/04/2025 12:00:00 AM,29/04/2025 4:46:50 PM,True,55,gps,309.6,29/04/2025 10:16:48 PM,373
4,80.10079,6.13856,3.5,1745945264000,29/04/2025 12:00:00 AM,29/04/2025 4:47:44 PM,True,55,gps,311.1,29/04/2025 10:17:42 PM,373
5,80.10079,6.13847,4.5,1745945308000,29/04/2025 12:00:00 AM,29/04/2025 4:48:28 PM,True,55,gps,220.7,29/04/2025 10:18:26 PM,373
6,80.1008,6.13848,6.5,1745945509281,29/04/2025 12:00:00 AM,29/04/2025 4:51:49 PM,True,55,gps,300.2,29/04/2025 10:21:47 PM,373
7,80.1008,6.1385,4.5,1745945808933,29/04/2025 12:00:00 AM,29/04/2025 4:56:49 PM,True,55,gps,0,29/04/2025 10:26:47 PM,373
8,80.10079,6.1385,4.5,1745946109000,29/04/2025 12:00:00 AM,29/04/2025 5:01:49 PM,True,55,gps,264.3,29/04/2025 10:31:47 PM,373
9,80.10065,6.13852,118.175,1745946404930,29/04/2025 12:00:00 AM,29/04/2025 5:06:45 PM,True,55,network,0,29/04/2025 10:36:44 PM,373
10,80.1008,6.1385,7,1745946409473,29/04/2025 12:00:00 AM,29/04/2025 5:06:49 PM,True,55,gps,0,29/04/2025 10:36:47 PM,373
11,80.10066,6.13851,106.842,1745946704880,29/04/2025 12:00:00 AM,29/04/2025 5:11:45 PM,True,55,network,0,29/04/2025 10:41:44 PM,373
12,80.1008,6.13846,11.5,1745946709357,29/04/2025 12:00:00 AM,29/04/2025 5:11:49 PM,True,55,gps,264.4,29/04/2025 10:41:47 PM,373
13,80.10066,6.13851,97.273,1745947004984,29/04/2025 12:00:00 AM,29/04/2025 5:16:45 PM,True,55,network,0,29/04/2025 10:46:45 PM,373
14,80.1008,6.13846,11.5,1745947009698,29/04/2025 12:00:00 AM,29/04/2025 5:16:50 PM,True,55,gps,0,29/04/2025 10:46:47 PM,373
15,80.10072,6.13851,5,1745947219000,29/04/2025 12:00:00 AM,29/04/2025 5:20:19 PM,True,55,gps,269.7,29/04/2025 10:50:17 PM,373
16,80.10072,6.13844,11.5,1745947309842,29/04/2025 12:00:00 AM,29/04/2025 5:21:50 PM,True,55,gps,254,29/04/2025 10:51:48 PM,373
17,80.10066,6.13851,76.371,1745947604934,29/04/2025 12:00:00 AM,29/04/2025 5:26:45 PM,True,55,network,0,29/04/2025 10:56:44 PM,373
18,80.10078,6.13846,8,1745947609770,29/04/2025 12:00:00 AM,29/04/2025 5:26:50 PM,True,55,gps,92.6,29/04/2025 10:56:47 PM,373
19,80.10066,6.13851,67.642,1745947904918,29/04/2025 12:00:00 AM,29/04/2025 5:31:45 PM,True,55,network,0,29/04/2025 11:01:44 PM,373
20,80.10076,6.13841,7,1745947909586,29/04/2025 12:00:00 AM,29/04/2025 5:31:50 PM,True,55,gps,230.9,29/04/2025 11:01:48 PM,373
21,80.10066,6.13851,56.19,1745948204885,29/04/2025 12:00:00 AM,29/04/2025 5:36:45 PM,True,55,network,0,29/04/2025 11:06:44 PM,373
22,80.10073,6.13848,13.5,1745948209761,29/04/2025 12:00:00 AM,29/04/2025 5:36:50 PM,True,55,gps,0,29/04/2025 11:06:47 PM,373
23,80.10082,6.13848,3.5,1745948342000,29/04/2025 12:00:00 AM,29/04/2025 5:39:02 PM,True,55,gps,265.2,29/04/2025 11:09:00 PM,373
24,80.10066,6.13852,45.97,1745948504890,29/04/2025 12:00:00 AM,29/04/2025 5:41:45 PM,True,55,network,0,29/04/2025 11:11:44 PM,373
25,80.10085,6.13848,9.5,1745948509960,29/04/2025 12:00:00 AM,29/04/2025 5:41:50 PM,True,55,gps,0,29/04/2025 11:11:48 PM,373
26,80.10066,6.13851,37.115,1745948804892,29/04/2025 12:00:00 AM,29/04/2025 5:46:45 PM,True,55,network,0,29/04/2025 11:16:44 PM,373
27,80.10085,6.13851,7,1745948809470,29/04/2025 12:00:00 AM,29/04/2025 5:46:49 PM,True,55,gps,0,29/04/2025 11:16:47 PM,373
28,80.10068,6.13852,32.831,1745949104875,29/04/2025 12:00:00 AM,29/04/2025 5:51:45 PM,True,55,network,0,29/04/2025 11:21:44 PM,373
29,80.1008,6.13845,4,1745949109000,29/04/2025 12:00:00 AM,29/04/2025 5:51:49 PM,True,55,gps,225.9,29/04/2025 11:21:47 PM,373
30,80.10067,6.13852,21.806,1745949404839,29/04/2025 12:00:00 AM,29/04/2025 5:56:45 PM,True,55,network,0,29/04/2025 11:26:44 PM,373
31,80.10078,6.13842,3.5,1745949408904,29/04/2025 12:00:00 AM,29/04/2025 5:56:49 PM,True,55,gps,0,29/04/2025 11:26:47 PM,373
32,80.10085,6.13849,6,1745949677000,29/04/2025 12:00:00 AM,29/04/2025 6:01:17 PM,True,55,gps,51.7,29/04/2025 11:31:16 PM,373
33,80.10079,6.1384,10,1745949686000,29/04/2025 12:00:00 AM,29/04/2025 6:01:26 PM,True,55,gps,0,29/04/2025 11:31:25 PM,373
34,80.10077,6.13849,4.5,1745949705000,29/04/2025 12:00:00 AM,29/04/2025 6:01:45 PM,True,55,gps,338.2,29/04/2025 11:31:44 PM,373
35,80.10077,6.13848,5,1745949708208,29/04/2025 12:00:00 AM,29/04/2025 6:01:48 PM,True,55,gps,14.8,29/04/2025 11:31:47 PM,373
36,80.1007,6.13842,27.14,1745949847205,29/04/2025 12:00:00 AM,29/04/2025 6:04:07 PM,True,55,network,0,29/04/2025 11:34:07 PM,373
37,80.10068,6.13852,22.832,1745949867569,29/04/2025 12:00:00 AM,29/04/2025 6:04:28 PM,True,55,network,0,29/04/2025 11:34:27 PM,373
38,80.10067,6.13852,21.664,1745950008475,29/04/2025 12:00:00 AM,29/04/2025 6:06:48 PM,True,55,network,0,29/04/2025 11:36:48 PM,373
